block,street_name,Address,Postal,Latitude,Longitude,mrt_count_500m,schools_within_2km,top25_schools_within_2km,nearby_top25_schools,distance_to_cbd
415B,FERNVALE LINK,415B FERNVALE LINK FERNVALE RIVERBOW SINGAPORE 792415,792415,1.38884403585275,103.880083476817,1,13,2,"Nan Chiau Primary School, Rosyth School",12071.163808105845
636A,SENJA RD,636A SENJA ROAD SENJA PARC VIEW SINGAPORE 671636,671636,1.38691566473158,103.758538070592,0,11,0,,15405.641666217069
548A,SEGAR RD,548A SEGAR ROAD SEGAR PALMVIEW SINGAPORE 671548,671548,1.38903884910542,103.768351041202,2,7,0,,14880.88157763167
636C,SENJA RD,636C SENJA ROAD SENJA PARC VIEW SINGAPORE 673636,673636,1.38743454593269,103.759118571415,0,11,0,,15405.42305519001
487B,CHOA CHU KANG AVE 5,487B CHOA CHU KANG AVENUE 5 SUNSHINE GARDENS SINGAPORE 682487,682487,1.37635512444695,103.738360161731,0,5,0,,16224.679932310455
476C,UPP SERANGOON VIEW,476C UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 533476,533476,1.37794957092138,103.904346035596,0,8,0,,11975.365496016893
477C,UPP SERANGOON VIEW,477C UPPER SERANGOON VIEW HOUGANG CAPEVIEW SINGAPORE 533477,533477,1.37932250991171,103.904191032446,0,10,0,,12100.237822961817
672B,EDGEFIELD PLAINS,672B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822672,822672,1.40665275009356,103.912312507427,2,9,0,,15211.459973334877
667B,PUNGGOL DR,667B PUNGGOL DRIVE WATERWAY WOODCRESS SINGAPORE 822667,822667,1.40211070319784,103.914916619924,2,9,0,,14895.707389082972
673A,EDGEFIELD PLAINS,673A EDGEFIELD PLAINS SKOOL4KIDZ CENTRE SINGAPORE 821673,821673,1.40667672210889,103.911613297113,1,10,0,,15179.44522759413
665A,PUNGGOL DR,665A PUNGGOL DRIVE NOBLELAND ARTS N LEARNING PLACE @WATERWAY PTE. LTD. SINGAPORE 821665,821665,1.4022827275187,103.913637732874,2,10,0,,14845.833218791198
258A,PUNGGOL FIELD,258A PUNGGOL FIELD PUNGGOL TOPAZ SINGAPORE 821258,821258,1.40379930905886,103.895988121768,1,12,1,Nan Chiau Primary School,14198.031403515235
92,DAWSON RD,92 DAWSON ROAD SKYTERRACE @ DAWSON SINGAPORE 141092,141092,1.29512086158743,103.81115001607,0,5,0,,4644.623745230664
89,DAWSON RD,89 DAWSON ROAD SKYTERRACE @ DAWSON SINGAPORE 142089,142089,1.29546316937491,103.811785236884,0,6,0,,4586.851318093569
